review_id,att_original,att_retest,n_beliefs_original,n_beliefs_retest,orig_e_i,new_e_i,orig_b_i,new_b_i
R0123,-1.6,-2.7,2,3,"[-1, -1]","[-1, -1, -1]","[0.8, 0.8]","[0.9, 0.9, 0.9]"
R0628,1.6,2.5,2,3,"[1, 1]","[1, 1, 1]","[0.8, 0.8]","[0.9, 0.9, 0.7]"
R0203,0.8,1.7000000000000002,2,2,"[1, 1]","[1, 1]",[0.8],"[0.9, 0.8]"
R0964,0.4,0.9,1,1,[1],[1],[0.4],[0.9]
R0625,2.4,2.7,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.8, 0.8]","[0.9, 0.9, 0.9]"
R0251,2.4,2.7,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.8, 0.8]","[0.9, 0.9, 0.9]"
R0092,2.4,1.6,3,2,"[1, 1, 1]","[1, 1]","[0.8, 0.8, 0.8]","[0.7, 0.9]"
R0897,2.8,2.8,3,3,"[1, 1, 1]","[1, 1, 1]","[0.9, 0.9, 1.0]","[1.0, 0.9, 0.9]"
R1266,1.4,1.5,5,5,"[1, 1, -1, 1, 1]","[1, 0, -1, 1, 1]","[0.7, 0.7, 0.7, 0.7]","[0.8, 0.8, 0.7, 0.6, 0.8]"
R1326,-1.7,-1.0,2,2,"[-1, -1]","[-1, -1]","[0.9, 0.8]","[0.6, 0.4]"
R0787,2.6,2.8,3,3,"[1, 1, 1]","[1, 1, 1]","[0.9, 0.9, 0.8]","[1.0, 0.9, 0.9]"
R0805,1.2,0.8000000000000002,3,3,"[1, 1, -1]","[1, 1, -1]","[0.8, 0.8, 0.4]","[0.9, 0.8, 0.9]"
R0122,0.9,1.6,1,2,[1],"[1, 1]",[0.9],"[0.7, 0.9]"
R0372,1.5,2.5,2,3,"[1, 1]","[1, 1, 1]","[0.7, 0.8]","[0.9, 0.8, 0.8]"
R0317,0.9,0.9,1,1,[1],[1],[0.9],[0.9]
R0798,0.8,1.7000000000000002,1,2,[1],"[1, 1]",[0.8],"[0.9, 0.8]"
R1323,1.3,1.2000000000000002,3,3,"[1, 1, -1]","[1, 1, -1]","[0.8, 0.9, 0.4]","[0.9, 0.9, 0.6]"
R0791,1.8,1.8,3,2,"[1, 1, 1]","[1, 1]","[0.7, 0.7, 0.4]","[0.9, 0.9]"
R0575,2.6,1.9,3,2,"[1, 1, 1]","[1, 1]","[0.9, 0.8, 0.9]","[1.0, 0.9]"
R0382,0.8,1.8,1,2,[1],"[1, 1]",[0.8],"[0.9, 0.9]"
R0005,2.4,2.4,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.8, 0.8]","[0.8, 0.7, 0.9]"
R1032,2.7,2.7,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 1.0, 0.9]","[0.9, 0.9, 0.9]"
R0204,0.9,0.9,1,1,[1],[1],[0.9],[0.9]
R0894,1.6,1.6,3,3,"[0, 1, 1]","[0, 1, 1]","[0.8, 0.8, 0.8]","[0.7, 0.8, 0.8]"
R0163,1.2,1.8,2,2,"[1, 1]","[1, 1]","[0.8, 0.4]","[0.9, 0.9]"
R0017,0.3,0.7999999999999999,3,3,"[1, -1, 1]","[1, -1, 1]","[0.7, 0.8, 0.4]","[0.7, 0.6, 0.7]"
R0745,1.7,1.8,2,2,"[1, 1]","[1, 1]","[0.8, 0.9]","[0.9, 0.9]"
R1065,2.0,2.2,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.4, 0.8]","[0.6, 0.9, 0.7]"
R0237,2.5,2.3,3,3,"[1, 1, 1]","[1, 1, 1]","[0.9, 0.7, 0.9]","[0.8, 0.8, 0.7]"
R0104,0.8,2.9,1,3,[1],"[1, 1, 1]",[0.8],"[1.0, 1.0, 0.9]"
R0216,1.8,2.9,2,3,"[1, 1]","[1, 1, 1]","[0.8, 1.0]","[1.0, 1.0, 0.9]"
R0333,0.7,1.7000000000000002,2,3,"[1, 1]","[1, 0, 1]",[0.7],"[0.9, 0.7, 0.8]"
R0297,-2.3,-2.5,3,3,"[-1, -1, -1]","[-1, -1, -1]","[0.7, 0.8, 0.8]","[0.9, 0.7, 0.9]"
R0054,0.8,1.0,1,1,[1],[1],[0.8],[1.0]
R0687,-2.0,-1.6,3,2,"[-1, -1, -1]","[-1, -1]","[0.8, 0.4, 0.8]","[0.9, 0.7]"
R1017,0.8,1.9,1,2,[1],"[1, 1]",[0.8],"[1.0, 0.9]"
R1128,2.0,1.9,2,2,"[1, 1]","[1, 1]","[1.0, 1.0]","[1.0, 0.9]"
R0623,2.1,2.6,3,3,"[1, 1, 1]","[1, 1, 1]","[0.7, 0.7, 0.7]","[0.9, 0.8, 0.9]"
R1113,0.8,1.9,1,2,[1],"[1, 1]",[0.8],"[1.0, 0.9]"
R0089,2.0,2.4000000000000004,3,3,"[1, 1, 1]","[1, 1, 1]","[0.7, 0.9, 0.4]","[0.8, 0.9, 0.7]"
R0718,-0.7,-0.3999999999999999,3,3,"[1, -1, -1]","[1, -1, -1]","[0.8, 0.8, 0.7]","[0.9, 0.7, 0.6]"
R0812,1.7,1.8,2,2,"[1, 1]","[1, 1]","[0.8, 0.9]","[0.9, 0.9]"
R1233,0.4,1.1,1,2,[1],"[1, 1]",[0.4],"[0.6, 0.5]"
R1144,0.9,0.9,3,3,"[1, -1, 1]","[1, -1, 1]","[0.8, 0.7, 0.8]","[0.9, 0.8, 0.8]"
R0488,1.6,1.5,2,2,"[1, 1]","[1, 1]","[0.8, 0.8]","[0.6, 0.9]"
R1244,0.8,0.9,1,1,[1],[1],[0.8],[0.9]
R1331,0.1,-0.3999999999999998,2,3,"[-1, 1]","[-1, -1, 1]","[0.7, 0.8]","[0.7, 0.6, 0.9]"
R0744,-0.9,-2.5,1,3,[-1],"[-1, -1, -1]",[0.9],"[0.9, 0.7, 0.9]"
R0033,2.4,2.5,3,3,"[1, 1, 1]","[1, 1, 1]","[0.8, 0.8, 0.8]","[0.9, 0.8, 0.8]"
R0943,1.6,2.7,2,3,"[1, 1]","[1, 1, 1]","[0.9, 0.7]","[0.9, 0.9, 0.9]"
